Species        ,csome_low,csome_high,N  ,Isolate  ,Location      ,Country     ,Reproduction,Reference                                                                                                                                                                                                                                                                                                                  
M. hapla A     ,34       ,          ,1  ,170-Ala  ,Ala.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,171-Chile,              ,Chile       ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,173-Chile,              ,Chile       ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,174-Ohio ,Ohio          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,175-Ohio ,Ohio          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,176-Cal  ,Cal.          ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,227-Wash ,Wash.         ,USA         ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla A     ,34       ,          ,1  ,228-Chile,              ,Chile       ,automixis   ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla B     ,45       ,          ,1  ,23-Engl  ,              ,England     ,apomixis    ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla B     ,45       ,          ,1  ,66-Md    ,Md.           ,USA         ,apomixis    ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hapla B     ,45       ,          ,1  ,74-Cal   ,Cal.          ,USA         ,apomixis    ,"Triantaphyllou AC: Polyploidy and Reproductive Pattems in the Root-knot Nematode Meloidogyne hapla. Journal of Morphology 1966, 118:403–413."                                                                                                                                                                             
M. hispanica   ,33       ,36        ,4  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. incognita   ,32       ,38        ,6  ,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. incognita   ,41       ,46        ,215,         ,              ,            ,apomixis    ,"Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985."                                                                                     
M. incognita   ,41       ,45        ,1  ,Btal1    ,Bethal        ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. incognita   ,32       ,34        ,1  ,Grob4    ,Marble Hall   ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. incognita   ,30       ,32        ,1  ,Grob9    ,Groblersdal   ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
M. incognita   ,35       ,37        ,1  ,Let41    ,Duiwelskloof  ,South Africa,apomixis    ,"Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272."                                                                                                                                                                      
